T,D,L,count,quality,cost,model_name
T8,D2,L2,37.0,32.637499999999996,0.040274478750000016,gpt-oss-120b
T8,D2,L3,39.0,34.2625,0.04246134750000001,gpt-oss-120b
T8,D3,L1,0.0,0.0,0.0,gpt-oss-120b
T8,D3,L2,3.75,3.245,0.0034251525,gpt-oss-120b
T8,D3,L3,2.25,2.0675,0.0031577700000000003,gpt-oss-120b
T8,D4,L1,0.0,0.0,0.0,gpt-oss-120b
T8,D4,L2,0.25,0.245,0.00039699,gpt-oss-120b
T8,D4,L3,0.3333333333333333,0.24,0.000317295,gpt-oss-120b
T8,D5,L1,0.0,0.0,0.0,gpt-oss-120b
T8,D5,L2,6.5,5.835,0.006359636250000001,gpt-oss-120b
T8,D5,L3,6.25,5.535000000000001,0.00907731,gpt-oss-120b
T8,D6,L1,0.0,0.0,0.0,gpt-oss-120b
T8,D6,L2,3.5,3.1300000000000003,0.004458465,gpt-oss-120b
T8,D6,L3,4.083333333333334,3.5974999999999997,0.006571743750000001,gpt-oss-120b
T8,D7,L1,0.0,0.0,0.0,gpt-oss-120b
T8,D7,L2,2.5,2.15,0.0032901825,gpt-oss-120b
T8,D7,L3,5.25,4.7700000000000005,0.00892579875,gpt-oss-120b
T8,D8,L1,0.0,0.0,0.0,gpt-oss-120b
T8,D8,L2,17.5,15.63,0.021586620000000004,gpt-oss-120b
T8,D8,L3,32.833333333333336,28.837500000000002,0.048477330000000006,gpt-oss-120b
T8,D9,L1,4.5,4.175,0.0060998025,gpt-oss-120b
T8,D9,L2,24.5,22.402499999999996,0.033228194999999995,gpt-oss-120b
T8,D9,L3,16.5,14.540000000000001,0.025669792499999993,gpt-oss-120b
T8,D10,L1,0.0,0.0,0.0,gpt-oss-120b
T8,D10,L2,0.0,0.0,0.0,gpt-oss-120b
T8,D10,L3,0.0,0.0,0.0,gpt-oss-120b
T9,D1,L1,0.0,0.0,0.0,gpt-oss-120b
T9,D1,L2,0.0,0.0,0.0,gpt-oss-120b
T9,D1,L3,0.0,0.0,0.0,gpt-oss-120b
T9,D2,L1,0.5,0.36,0.000728805,gpt-oss-120b
T9,D2,L2,0.0,0.0,0.0,gpt-oss-120b
T9,D2,L3,0.0,0.0,0.0,gpt-oss-120b
T9,D3,L1,0.0,0.0,0.0,gpt-oss-120b
T9,D3,L2,0.0,0.0,0.0,gpt-oss-120b
T9,D3,L3,0.0,0.0,0.0,gpt-oss-120b
T9,D4,L1,0.0,0.0,0.0,gpt-oss-120b
T9,D4,L2,0.0,0.0,0.0,gpt-oss-120b
T9,D4,L3,0.0,0.0,0.0,gpt-oss-120b
T9,D5,L1,0.0,0.0,0.0,gpt-oss-120b
T9,D5,L2,0.0,0.0,0.0,gpt-oss-120b
T9,D5,L3,0.0,0.0,0.0,gpt-oss-120b
T9,D6,L1,0.0,0.0,0.0,gpt-oss-120b
T9,D6,L2,0.0,0.0,0.0,gpt-oss-120b
T9,D6,L3,0.0,0.0,0.0,gpt-oss-120b
T9,D7,L1,0.0,0.0,0.0,gpt-oss-120b
T9,D7,L2,0.0,0.0,0.0,gpt-oss-120b
T9,D7,L3,0.0,0.0,0.0,gpt-oss-120b
T9,D8,L1,1.5,1.0899999999999999,0.00202521,gpt-oss-120b
T9,D8,L2,0.0,0.0,0.0,gpt-oss-120b
T9,D8,L3,0.0,0.0,0.0,gpt-oss-120b
T9,D9,L1,1.0,0.94,0.00014652,gpt-oss-120b
T9,D9,L2,0.0,0.0,0.0,gpt-oss-120b
T9,D9,L3,0.0,0.0,0.0,gpt-oss-120b
T9,D10,L1,0.0,0.0,0.0,gpt-oss-120b
T9,D10,L2,0.0,0.0,0.0,gpt-oss-120b
T9,D10,L3,0.0,0.0,0.0,gpt-oss-120b
T10,D1,L1,0.25,0.245,3.4320000000000003e-05,gpt-oss-120b
T10,D1,L2,0.75,0.44000000000000006,0.00045515250000000007,gpt-oss-120b
T10,D1,L3,0.0,0.0,0.0,gpt-oss-120b
T10,D2,L1,22.75,15.885,0.0144412125,gpt-oss-120b
T10,D2,L2,116.41666666666667,86.47416666666663,0.08294391875,gpt-oss-120b
T10,D2,L3,8.5,5.717499999999999,0.0058768875000000005,gpt-oss-120b
T10,D3,L1,0.5,0.31,0.00012936,gpt-oss-120b
T10,D3,L2,10.25,6.995,0.008312865000000001,gpt-oss-120b
T10,D3,L3,0.25,0.2125,0.00036283500000000005,gpt-oss-120b
T10,D4,L1,0.0,0.0,0.0,gpt-oss-120b
T10,D4,L2,1.25,0.7749999999999999,0.0008920725,gpt-oss-120b
T10,D4,L3,0.0,0.0,0.0,gpt-oss-120b
T10,D5,L1,2.0,1.6500000000000001,0.0017142675000000002,gpt-oss-120b
T10,D5,L2,15.166666666666666,11.771666666666663,0.013577836249999998,gpt-oss-120b
T10,D5,L3,0.75,0.645,0.0007277325,gpt-oss-120b
T10,D6,L1,2.0,1.6400000000000001,0.000611655,gpt-oss-120b
T10,D6,L2,8.166666666666666,6.171666666666668,0.006435357500000001,gpt-oss-120b
T10,D6,L3,0.75,0.5425,0.0008451712500000001,gpt-oss-120b
T10,D7,L1,0.0,0.0,0.0,gpt-oss-120b
T10,D7,L2,3.0,2.455,0.00561594,gpt-oss-120b
T10,D7,L3,0.75,0.64,0.0017740387500000002,gpt-oss-120b
T10,D8,L1,17.0,12.235000000000001,0.011567985000000003,gpt-oss-120b
T10,D8,L2,39.0,28.435000000000006,0.044790075000000006,gpt-oss-120b
T10,D8,L3,4.5,3.0324999999999998,0.007595692500000001,gpt-oss-120b
T10,D9,L1,32.0,23.265000000000004,0.03642969,gpt-oss-120b
T10,D9,L2,23.0,17.967500000000005,0.031904400000000006,gpt-oss-120b
T10,D9,L3,0.0,0.0,0.0,gpt-oss-120b
T10,D10,L1,0.0,0.0,0.0,gpt-oss-120b
T10,D10,L2,0.0,0.0,0.0,gpt-oss-120b
T10,D10,L3,0.0,0.0,0.0,gpt-oss-120b
T11,D1,L1,0.0,0.0,0.0,gpt-oss-120b
T11,D1,L2,0.0,0.0,0.0,gpt-oss-120b
T11,D1,L3,0.0,0.0,0.0,gpt-oss-120b
T11,D2,L1,0.0,0.0,0.0,gpt-oss-120b
T11,D2,L2,0.0,0.0,0.0,gpt-oss-120b
T11,D2,L3,0.0,0.0,0.0,gpt-oss-120b
T11,D3,L1,0.0,0.0,0.0,gpt-oss-120b
